Ref Id,Course Name,Level,Duration (Weeks),Start,Fees,Age,Occupation,Education Background,Country,Rating,Complete or Not,Reason for Doing Course,Total Time Spent (Hours),Skills Gained,Did this course meet your expectations?,Did this course help you improve your skills?,Did you gain practical knowledge from this course?,Did the course content effectively cover the topics it promised?,Did this course help you improve your skills?,Were the materials and resources provided sufficient?,Would you recommend this course to others?,Did the course length feel appropriate for the content covered?,Did you experience any technical issues during the course?,Do you believe the course provided good value for the cost?,Would you recommend this course to others?
202303M,Web Development,Basic,4,01-03-2023,4499,29,Business,High School,India,5,Yes,Change in field,32,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
202306F,Web Development,Basic,4,15-06-2023,4499,33,Business,Master's,India,3,Yes,Promotion,16,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
202207F,Data Analyst,Advanced,6,01-07-2022,8499,26,Business,High School,India,3,Yes,Promotion,32,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
202404F,Data Science,Basic,4,15-04-2024,4499,30,Business,Master's,India,2,No,Promotion,42,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,Yes,,,
202310M,UX/UI Designer,Advanced,6,15-10-2023,8499,19,Fresher,Master's,India,3,Yes,Promotion,51,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
202204F,Data Science,Intermediate,6,01-04-2022,6499,18,Freelancer,Bachelor's,India,5,Yes,Job,33,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
202401F,Web Development,Intermediate,6,01-01-2024,6499,34,Job,High School,India,4,Yes,Promotion,43,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
202208F,Digital Marketing,Intermediate,6,01-08-2022,6499,21,Student,Bachelor's,UK,1,Yes,Promotion,34,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",No,No,No,No,Yes,No,No,No,No,No,No
202206M,Data Science,Basic,4,15-06-2022,4499,20,Student,Bachelor's,India,5,Yes,Devlopment,17,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202407M,Digital Marketing,Advanced,6,15-07-2024,8499,32,Job,High School,India,1,Yes,Change in field,50,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",No,Yes,No,No,No,Yes,No,Yes,No,Yes,No
202405M,Machine Learning,Basic,4,15-05-2024,4499,36,Business,High School,India,1,No,Change in field,16,"Azure, Pytorch, Chat Gpt",,,,,,,,No,,,
202209F,Data Analyst,Basic,4,15-09-2022,4499,37,Business,Bachelor's,India,3,Yes,Change in field,33,"Tableau, Advanced Mathematics, Excel",Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
202201F,Data Science,Advanced,6,01-01-2022,8499,18,Fresher,Bachelor's,India,4,Yes,Job,38,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202405F,Data Analyst,Advanced,6,15-05-2024,8499,19,Student,Master's,India,4,Yes,Promotion,44,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202408F,Web Development,Basic,4,01-08-2024,4499,21,Freelancer,Bachelor's,India,1,Yes,Devlopment,29,"Azure, Pytorch, Chat Gpt",No,No,No,No,No,No,No,No,No,Yes,Yes
202307M,Web Development,Basic,4,15-07-2023,4499,36,Business,Bachelor's,India,1,Yes,Job,41,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak",No,No,Yes,No,No,Yes,No,No,Yes,No,Yes
202206F,Data Science,Advanced,6,01-06-2022,8499,36,Job,Master's,India,3,Yes,Promotion,31,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
202210M,Machine Learning,Basic,4,01-10-2022,4499,23,Student,High School,India,3,Yes,Job,18,"Azure, Pytorch, Chat Gpt",No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
202403F,Web Development,Basic,4,15-03-2024,4499,23,Fresher,High School,India,3,Yes,Devlopment,29,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",No,No,No,Yes,Yes,No,No,No,Yes,No,Yes
202409M,Machine Learning,Intermediate,6,01-09-2024,6499,21,Fresher,Bachelor's,UK,5,Yes,Job,36,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202205F,Data Analyst,Advanced,6,15-05-2022,8499,22,Student,High School,India,4,Yes,Job,48,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202210F,Data Analyst,Basic,4,01-10-2022,4499,36,Business,High School,India,4,Yes,Devlopment,43,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
202404F,Data Analyst,Basic,4,15-04-2024,4499,20,Student,Master's,India,4,Yes,Job,18,"Tableau, Advanced Mathematics, Excel",Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes
202402M,Machine Learning,Basic,4,01-02-2024,4499,31,Fresher,Bachelor's,India,1,Yes,Devlopment,26,"Azure, Pytorch, Chat Gpt",No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
202205F,Data Analyst,Basic,4,01-05-2022,4499,22,Student,Master's,India,4,Yes,Job,16,"Tableau, Advanced Mathematics, Excel",Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes
202303F,Digital Marketing,Basic,4,15-03-2023,4499,36,Business,Master's,India,4,Yes,Devlopment,29,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
202301F,Machine Learning,Advanced,6,01-01-2023,8499,29,Job,Master's,UK,1,Yes,Promotion,54,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",No,No,No,No,Yes,Yes,No,No,Yes,No,No
202205F,Machine Learning,Advanced,6,15-05-2022,8499,31,Job,Master's,India,4,Yes,Promotion,53,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
202208M,Digital Marketing,Advanced,6,01-08-2022,8499,21,Student,Master's,Germany,2,Yes,Job,34,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
202305F,Web Development,Basic,4,01-05-2023,4499,30,Business,Bachelor's,Canada,4,Yes,Job,33,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
202210M,Data Analyst,Basic,4,15-10-2022,4499,31,Business,Master's,India,3,Yes,Promotion,33,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No
202209M,Data Analyst,Basic,4,01-09-2022,4499,34,Business,High School,India,3,Yes,Change in field,21,"Tableau, Advanced Mathematics, Excel",Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No
202407M,Data Analyst,Basic,4,15-07-2024,4499,23,Student,Master's,India,5,Yes,Job,34,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
202404F,Data Science,Intermediate,6,01-04-2024,6499,31,Job,High School,India,3,Yes,Promotion,49,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
202312M,Data Analyst,Basic,4,15-12-2023,4499,19,Student,Master's,India,3,Yes,Job,34,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
202409M,Data Science,Basic,4,15-09-2024,4499,36,Job,High School,India,5,Yes,Promotion,22,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
202404M,Digital Marketing,Basic,4,01-04-2024,4499,32,Business,High School,India,1,Yes,Devlopment,46,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",Yes,No,Yes,No,No,No,No,No,Yes,No,Yes
202302F,Data Science,Basic,4,01-02-2023,4499,28,Business,High School,Canada,4,Yes,Devlopment,32,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
202305M,Web Development,Advanced,6,15-05-2023,8499,23,Fresher,High School,India,2,Yes,Devlopment,53,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes
202306F,Data Analyst,Basic,4,01-06-2023,4499,23,Student,High School,India,4,Yes,Job,20,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
202311M,Data Science,Basic,4,15-11-2023,4499,36,Business,Bachelor's,India,2,Yes,Job,43,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",No,No,No,No,Yes,No,Yes,No,No,No,No
202201F,Data Analyst,Basic,4,01-01-2022,4499,34,Business,Master's,India,4,No,Promotion,44,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,Yes,,,
202210M,Data Analyst,Basic,4,01-10-2022,4499,31,Business,Master's,India,3,Yes,Promotion,28,"Tableau, Advanced Mathematics, Excel",Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes
202212F,Digital Marketing,Basic,4,01-12-2022,4499,25,Student,Master's,India,5,Yes,Change in field,46,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202211M,Web Development,Basic,4,15-11-2022,4499,27,Business,Bachelor's,India,4,Yes,Promotion,49,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting",Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes
202403F,Data Analyst,Basic,4,15-03-2024,4499,21,Student,Master's,India,4,No,Devlopment,22,"Tableau, Advanced Mathematics, Excel",,,,,,,,No,,,
202203F,Data Analyst,Basic,4,15-03-2022,4499,21,Student,High School,India,4,Yes,Promotion,44,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes
202210M,Data Analyst,Basic,4,15-10-2022,4499,27,Job,High School,India,3,Yes,Promotion,23,"Tableau, Advanced Mathematics, Excel",No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
202207M,Data Analyst,Basic,4,01-07-2022,4499,20,Student,Bachelor's,UK,2,No,Job,29,"Azure, Pytorch, Chat Gpt",,,,,,,,No,,,
202406M,Machine Learning,Basic,4,01-06-2024,4499,29,Job,High School,India,4,No,Change in field,27,"Azure, Pytorch, Chat Gpt",,,,,,,,Yes,,,
202312M,UX/UI Designer,Advanced,6,01-12-2023,8499,26,Job,Bachelor's,India,1,Yes,Promotion,53,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",No,No,Yes,No,No,No,No,Yes,No,Yes,No
202407F,Data Analyst,Basic,4,01-07-2024,4499,19,Student,Bachelor's,India,2,No,Job,29,"Adobe XD, Sketch, Figma,Axure",,,,,,,,Yes,,,
202204F,Data Science,Advanced,6,01-04-2022,8499,18,Fresher,High School,India,1,Yes,Devlopment,41,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",No,No,No,No,No,No,No,No,Yes,No,No
202306M,Digital Marketing,Intermediate,6,15-06-2023,6499,34,Business,Master's,India,3,No,Change in field,31,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",,,,,,,,Yes,,,
202403F,Web Development,Intermediate,6,01-03-2024,6499,26,Business,Bachelor's,India,5,Yes,Promotion,40,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
202308F,Data Analyst,Basic,4,15-08-2023,4499,25,Student,High School,India,4,Yes,Change in field,38,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No
202301M,Data Science,Basic,4,15-01-2023,4499,21,Fresher,Bachelor's,India,5,No,Job,30,"Tableau, Advanced Mathematics, Excel",,,,,,,,No,,,
202301F,Web Development,Intermediate,6,01-01-2023,6499,37,Business,Bachelor's,India,1,Yes,Promotion,50,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak",No,No,Yes,No,Yes,No,No,No,No,No,No
202303F,Web Development,Advanced,6,15-03-2023,8499,32,Business,Master's,India,4,Yes,Promotion,40,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
202307F,Data Science,Intermediate,6,01-07-2023,6499,33,Business,Master's,India,3,Yes,Promotion,50,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",No,No,No,Yes,Yes,No,No,No,Yes,No,Yes
202211F,Web Development,Advanced,6,01-11-2022,8499,26,Business,High School,India,3,Yes,Promotion,50,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
202407F,Data Science,Advanced,6,15-07-2024,8499,31,Business,High School,India,2,Yes,Promotion,45,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
202403M,Digital Marketing,Intermediate,6,01-03-2024,6499,35,Business,Bachelor's,India,1,No,Promotion,36,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",,,,,,,,Yes,,,
202302M,Data Analyst,Intermediate,6,15-02-2023,6499,20,Student,Master's,UK,2,No,Promotion,41,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,Yes,,,
202305F,UX/UI Designer,Intermediate,6,01-05-2023,6499,21,Student,Master's,India,5,No,Job,31,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting",,,,,,,,Yes,,,
202208M,Data Science,Intermediate,6,01-08-2022,6499,32,Business,High School,India,5,No,Promotion,44,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,Yes,,,
202301F,Data Science,Advanced,6,15-01-2023,8499,30,Business,Bachelor's,India,5,Yes,Promotion,30,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202204F,UX/UI Designer,Intermediate,6,15-04-2022,6499,27,Business,High School,India,5,Yes,Promotion,40,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202204M,Digital Marketing,Advanced,6,01-04-2022,8499,29,Business,High School,Canada,4,Yes,Promotion,52,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
202212M,Digital Marketing,Intermediate,6,15-12-2022,6499,23,Fresher,High School,India,4,No,Devlopment,40,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",,,,,,,,No,,,
202308M,UX/UI Designer,Basic,4,15-08-2023,4499,33,Fresher,Master's,India,5,Yes,Devlopment,33,"Adobe XD, Sketch, Figma,Axure",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
202210M,Data Analyst,Intermediate,6,15-10-2022,6499,25,Fresher,Master's,India,4,Yes,Devlopment,51,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
202210M,Web Development,Intermediate,6,01-10-2022,6499,19,Student,Bachelor's,India,5,Yes,Job,38,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
202212F,Data Analyst,Advanced,6,01-12-2022,8499,34,Job,Bachelor's,India,4,Yes,Promotion,31,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
202305M,Data Science,Basic,4,01-05-2023,4499,28,Business,Bachelor's,India,2,Yes,Promotion,29,"Tableau, Advanced Mathematics, Excel",Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No
202202F,Data Science,Basic,4,15-02-2022,4499,26,Business,High School,USA,2,No,Promotion,46,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,Yes,,,
202205M,Data Science,Basic,4,15-05-2022,4499,28,Business,Master's,India,1,No,Promotion,29,"Tableau, Advanced Mathematics, Excel",,,,,,,,Yes,,,
202208M,Machine Learning,Basic,4,15-08-2022,4499,21,Student,High School,UK,2,Yes,Job,35,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",No,No,No,No,No,Yes,No,No,Yes,No,No
202405F,Digital Marketing,Basic,4,15-05-2024,4499,20,Fresher,Bachelor's,UK,3,No,Devlopment,25,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",,,,,,,,Yes,,,
202210M,Digital Marketing,Intermediate,6,01-10-2022,6499,28,Job,Master's,India,5,No,Promotion,52,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",,,,,,,,Yes,,,
202201F,UX/UI Designer,Advanced,6,15-01-2022,8499,35,Job,Bachelor's,India,2,Yes,Promotion,45,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",No,No,No,No,Yes,Yes,No,No,No,No,No
202301F,Data Analyst,Basic,4,01-01-2023,4499,36,Business,Master's,India,1,Yes,Promotion,18,"Tableau, Advanced Mathematics, Excel",No,Yes,No,No,No,No,No,No,No,Yes,No
202206F,Data Analyst,Basic,4,15-06-2022,4499,30,Business,Bachelor's,India,3,Yes,Promotion,40,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
202312M,Data Analyst,Intermediate,6,15-12-2023,6499,24,Student,High School,India,4,Yes,Job,39,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
202304F,Machine Learning,Advanced,6,15-04-2023,8499,36,Job,Master's,India,4,Yes,Change in field,31,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
202301F,Web Development,Advanced,6,01-01-2023,8499,18,Freelancer,Bachelor's,India,1,Yes,Devlopment,43,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",No,No,No,No,No,No,No,No,Yes,Yes,No
202210F,Web Development,Basic,4,15-10-2022,4499,21,Student,Bachelor's,India,1,Yes,Change in field,32,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",No,No,Yes,No,No,No,No,No,Yes,No,No
